File,Date ,Size,Type
 01aJourneyDataExtract10Jan16-23Jan16.csv,"Aug 24th 2016, 03:46:34 pm",34.45 MB,CSV file
 01b Journey Data Extract 24Jan16-06Feb16.csv,"Aug 23rd 2016, 10:16:33 am",35.49 MB,CSV file
 01bJourneyDataExtract24Jan16-06Feb16.csv,"Aug 24th 2016, 03:46:42 pm",35.49 MB,CSV file
 02aJourneyDataExtract07Fe16-20Feb2016.csv,"Mar 11th 2016, 11:38:10 am",33.29 MB,CSV file
 02bJourneyDataExtract21Feb16-05Mar2016.csv,"Mar 11th 2016, 11:37:48 am",34.88 MB,CSV file
 03JourneyDataExtract06Mar2016-31Mar2016.csv,"Aug 24th 2016, 03:46:49 pm",67.72 MB,CSV file
 04JourneyDataExtract01Apr2016-30Apr2016.csv,"Aug 24th 2016, 03:47:01 pm",94.57 MB,CSV file
 05JourneyDataExtract01May2016-17May2016.csv,"Aug 24th 2016, 03:47:19 pm",71.66 MB,CSV file
 06JourneyDataExtract18May2016-24May2016.csv,"Nov 30th 2016, 09:53:19 am",27.90 MB,CSV file
 07JourneyDataExtract25May2016-31May2016.csv,"Nov 29th 2016, 03:24:04 pm",25.92 MB,CSV file
 08JourneyDataExtract01Jun2016-07Jun2016.csv,"Aug 24th 2016, 03:47:44 pm",28.77 MB,CSV file
 09JourneyDataExtract08Jun2016-14Jun2016.csv,"Aug 24th 2016, 03:47:49 pm",27.48 MB,CSV file
 100JourneyDataExtract07Mar2018-13Mar2018.csv,"Apr 12th 2018, 10:44:32 am",17.95 MB,CSV file
 101JourneyDataExtract14Mar2018-20Mar2018.csv,"Apr 12th 2018, 10:44:49 am",17.01 MB,CSV file
 102JourneyDataExtract21Mar2018-27Mar2018.csv,"Apr 12th 2018, 10:45:12 am",20.61 MB,CSV file
 103JourneyDataExtract28Mar2018-03Apr2018.csv,"Apr 12th 2018, 10:45:34 am",11.70 MB,CSV file
 104JourneyDataExtract04Apr2018-10Apr2018.csv,"Apr 12th 2018, 10:45:44 am",19.57 MB,CSV file
 105JourneyDataExtract11Apr2018-17Apr2018.csv,"May 24th 2018, 03:41:28 pm",23.76 MB,CSV file
 106JourneyDataExtract18Apr2018-24Apr2018.csv,"May 24th 2018, 03:41:44 pm",33.60 MB,CSV file
 107JourneyDataExtract25Apr2018-01May2018.csv,"May 24th 2018, 03:42:04 pm",20.98 MB,CSV file
 108JourneyDataExtract02May2018-08May2018.csv,"May 24th 2018, 03:42:19 pm",31.62 MB,CSV file
 109JourneyDataExtract09May2018-15May2018.csv,"May 24th 2018, 03:42:33 pm",29.32 MB,CSV file
 10JourneyDataExtract15Jun2016-21Jun2016.csv,"Aug 24th 2016, 03:47:54 pm",27.10 MB,CSV file
 10a-Journey-Data-Extract-20Sep15-03Oct15.csv,"Oct 22nd 2015, 05:03:08 pm",53.05 MB,CSV file
 10b-Journey-Data-Extract-04Oct15-17Oct15.csv,"Oct 22nd 2015, 05:02:42 pm",49.63 MB,CSV file
 110JourneyDataExtract16May2018-22May2018.csv,"May 24th 2018, 03:42:48 pm",32.10 MB,CSV file
 111JourneyDataExtract23May2018-29May2018.csv,"Aug 8th 2018, 03:47:21 pm",28.11 MB,CSV file
 112JourneyDataExtract30May2018-05June2018.csv,"Aug 8th 2018, 03:47:53 pm",31.38 MB,CSV file
 113JourneyDataExtract06June2018-12June2018.csv,"Aug 8th 2018, 03:48:09 pm",32.99 MB,CSV file
 114JourneyDataExtract13June2018-19June2018.csv,"Aug 8th 2018, 03:48:30 pm",31.08 MB,CSV file
 115JourneyDataExtract20June2018-26June2018.csv,"Aug 8th 2018, 03:48:44 pm",35.34 MB,CSV file
 116JourneyDataExtract27June2018-03July2018.csv,"Aug 8th 2018, 03:49:01 pm",35.47 MB,CSV file
 117JourneyDataExtract04July2018-10July2018.csv,"Aug 8th 2018, 03:49:27 pm",35.03 MB,CSV file
 118JourneyDataExtract11July2018-17July2018.csv,"Aug 8th 2018, 03:49:43 pm",34.34 MB,CSV file
 119JourneyDataExtract18July2018-24July2018.csv,"Aug 8th 2018, 03:50:01 pm",34.92 MB,CSV file
 11JourneyDataExtract22Jun2016-28Jun2016.csv,"Aug 24th 2016, 03:48:00 pm",27.28 MB,CSV file
 11a-Journey-Data-Extract-18Oct15-31Oct15.csv,"Nov 19th 2015, 02:10:49 pm",44.97 MB,CSV file
 11b-Journey-Data-Extract-01Nov15-14Nov15.csv,"Nov 19th 2015, 02:10:34 pm",41.14 MB,CSV file
 120JourneyDataExtract25July2018-31July2018.csv,"Aug 8th 2018, 03:53:39 pm",31.77 MB,CSV file
 121JourneyDataExtract01Aug2018-07Aug2018.csv,"Aug 8th 2018, 03:53:54 pm",35.02 MB,CSV file
 122JourneyDataExtract08Aug2018-14Aug2018.csv,"Oct 1st 2018, 01:40:20 pm",27.19 MB,CSV file
 123JourneyDataExtract15Aug2018-21Aug2018.csv,"Oct 1st 2018, 01:40:42 pm",29.94 MB,CSV file
 124JourneyDataExtract22Aug2018-28Aug2018.csv,"Oct 1st 2018, 01:40:58 pm",23.41 MB,CSV file
 125JourneyDataExtract29Aug2018-04Sep2018.csv,"Oct 1st 2018, 01:41:15 pm",29.25 MB,CSV file
 126JourneyDataExtract05Sep2018-11Sep2018.csv,"Oct 1st 2018, 01:41:40 pm",28.86 MB,CSV file
 127JourneyDataExtract12Sep2018-18Sep2018.csv,"Oct 1st 2018, 01:41:57 pm",30.18 MB,CSV file
 128JourneyDataExtract19Sep2018-25Sep2018.csv,"Oct 1st 2018, 01:42:22 pm",24.27 MB,CSV file
 129JourneyDataExtract26Sep2018-02Oct2018.csv,"Jan 25th 2019, 10:48:46 am",29.48 MB,CSV file
 12JourneyDataExtract29Jun2016-05Jul2016.csv,"Aug 24th 2016, 03:48:06 pm",29.67 MB,CSV file
 12aJourneyDataExtract15Nov15-27Nov15.csv,"Jan 14th 2016, 05:03:55 pm",35.18 MB,CSV file
 12bJourneyDataExtract28Nov15-12Dec15.csv,"Jan 14th 2016, 05:04:09 pm",39.63 MB,CSV file
 130JourneyDataExtract03Oct2018-09Oct2018.csv,"Jan 25th 2019, 10:49:06 am",27.05 MB,CSV file
 131JourneyDataExtract10Oct2018-16Oct2018.csv,"Jan 25th 2019, 10:49:31 am",26.88 MB,CSV file
 132JourneyDataExtract17Oct2018-23Oct2018.csv,"Jan 25th 2019, 10:49:54 am",28.23 MB,CSV file
 133JourneyDataExtract24Oct2018-30Oct2018.csv,"Jan 25th 2019, 10:52:08 am",22.84 MB,CSV file
 134JourneyDataExtract31Oct2018-06Nov2018.csv,"Jun 10th 2020, 11:18:43 am",23.91 MB,CSV file
 135JourneyDataExtract07Nov2018-13Nov2018.csv,"Jan 25th 2019, 10:52:50 am",21.48 MB,CSV file
 136JourneyDataExtract14Nov2018-20Nov2018.csv,"Jan 25th 2019, 10:53:09 am",18.97 MB,CSV file
 137JourneyDataExtract21Nov2018-27Nov2018.csv,"Jan 25th 2019, 10:53:28 am",18.80 MB,CSV file
 138JourneyDataExtract28Nov2018-04Dec2018.csv,"Jan 25th 2019, 10:53:55 am",19.41 MB,CSV file
 139JourneyDataExtract05Dec2018-11Dec2018.csv,"Jan 25th 2019, 10:54:12 am",17.72 MB,CSV file
 13JourneyDataExtract06Jul2016-12Jul2016.csv,"Aug 24th 2016, 03:48:11 pm",29.90 MB,CSV file
 13aJourneyDataExtract13Dec15-24Dec15.csv,"Jan 14th 2016, 05:04:20 pm",28.98 MB,CSV file
 13bJourneyDataExtract25Dec15-09Jan16.csv,"Jan 14th 2016, 05:04:30 pm",30.06 MB,CSV file
 140JourneyDataExtract12Dec2018-18Dec2018.csv,"Jan 25th 2019, 10:54:36 am",17.16 MB,CSV file
 141JourneyDataExtract19Dec2018-25Dec2018.csv,"Jan 25th 2019, 10:55:07 am",15.63 MB,CSV file
 142JourneyDataExtract26Dec2018-01Jan2019.csv,"Jan 25th 2019, 10:55:23 am",11.29 MB,CSV file
 143JourneyDataExtract02Jan2019-08Jan2019.csv,"Jan 25th 2019, 10:55:38 am",17.28 MB,CSV file
 144JourneyDataExtract09Jan2019-15Jan2019.csv,"Jan 25th 2019, 10:55:56 am",20.38 MB,CSV file
 145JourneyDataExtract16Jan2019-22Jan2019.csv,"Apr 2nd 2019, 01:56:21 pm",19.15 MB,CSV file
 146JourneyDataExtract23Jan2019-29Jan2019.csv,"Apr 2nd 2019, 01:56:40 pm",18.07 MB,CSV file
 147JourneyDataExtract30Jan2019-05Feb2019.csv,"Apr 2nd 2019, 01:56:58 pm",16.16 MB,CSV file
 148JourneyDataExtract06Feb2019-12Feb2019.csv,"Apr 2nd 2019, 01:57:13 pm",18.60 MB,CSV file
 149JourneyDataExtract13Feb2019-19Feb2019.csv,"Apr 2nd 2019, 01:57:31 pm",22.29 MB,CSV file
 14JourneyDataExtract13Jul2016-19Jul2016.csv,"Aug 24th 2016, 03:48:17 pm",34.98 MB,CSV file
 150JourneyDataExtract20Feb2019-26Feb2019.csv,"Apr 2nd 2019, 01:57:49 pm",25.45 MB,CSV file
 151JourneyDataExtract27Feb2019-05Mar2019.csv,"Apr 2nd 2019, 01:58:12 pm",21.59 MB,CSV file
 152JourneyDataExtract06Mar2019-12Mar2019.csv,"Apr 2nd 2019, 01:58:36 pm",18.70 MB,CSV file
 153JourneyDataExtract13Mar2019-19Mar2019.csv,"Apr 2nd 2019, 01:58:55 pm",19.37 MB,CSV file
 154JourneyDataExtract20Mar2019-26Mar2019.csv,"Jun 17th 2019, 12:08:57 pm",24.87 MB,CSV file
 155JourneyDataExtract27Mar2019-02Apr2019.csv,"Jun 17th 2019, 12:09:19 pm",25.13 MB,CSV file
 156JourneyDataExtract03Apr2019-09Apr2019.csv,"Jun 17th 2019, 12:09:40 pm",20.38 MB,CSV file
 157JourneyDataExtract10Apr2019-16Apr2019.csv,"Jun 17th 2019, 12:09:59 pm",23.32 MB,CSV file
 158JourneyDataExtract17Apr2019-23Apr2019.csv,"Jun 17th 2019, 12:11:07 pm",30.99 MB,CSV file
 159JourneyDataExtract24Apr2019-30Apr2019.csv,"Jun 17th 2019, 12:11:32 pm",25.88 MB,CSV file
 15JourneyDataExtract20Jul2016-26Jul2016.csv,"Aug 24th 2016, 03:48:23 pm",35.58 MB,CSV file
 160JourneyDataExtract01May2019-07May2019.csv,"Jun 17th 2019, 12:11:50 pm",23.96 MB,CSV file
 161JourneyDataExtract08May2019-14May2019.csv,"Jun 17th 2019, 12:12:09 pm",26.19 MB,CSV file
 162JourneyDataExtract15May2019-21May2019.csv,"Jun 17th 2019, 12:12:28 pm",28.87 MB,CSV file
 163JourneyDataExtract22May2019-28May2019.csv,"Jun 17th 2019, 12:12:47 pm",29.17 MB,CSV file
 164JourneyDataExtract29May2019-04Jun2019.csv,"Jun 17th 2019, 12:13:14 pm",30.60 MB,CSV file
 165JourneyDataExtract05Jun2019-11Jun2019.csv,"Jun 17th 2019, 12:13:34 pm",24.66 MB,CSV file
 166JourneyDataExtract12Jun2019-18Jun2019.csv,"Aug 6th 2019, 11:27:36 am",25.08 MB,CSV file
 167JourneyDataExtract19Jun2019-25Jun2019.csv,"Aug 6th 2019, 11:27:55 am",30.64 MB,CSV file
 168JourneyDataExtract26Jun2019-02Jul2019.csv,"Aug 6th 2019, 11:28:15 am",33.22 MB,CSV file
 169JourneyDataExtract03Jul2019-09Jul2019.csv,"Aug 6th 2019, 11:28:31 am",33.23 MB,CSV file
 16JourneyDataExtract27Jul2016-02Aug2016.csv,"Aug 24th 2016, 03:48:30 pm",32.36 MB,CSV file
 170JourneyDataExtract10Jul2019-16Jul2019.csv,"Aug 6th 2019, 11:28:47 am",32.87 MB,CSV file
 171JourneyDataExtract17Jul2019-23Jul2019.csv,"Aug 6th 2019, 11:29:05 am",30.34 MB,CSV file
 172JourneyDataExtract24Jul2019-30Jul2019.csv,"Aug 6th 2019, 11:29:22 am",27.87 MB,CSV file
 173JourneyDataExtract31Jul2019-06Aug2019.csv,"Aug 30th 2019, 10:53:58 am",31.72 MB,CSV file
 174JourneyDataExtract07Aug2019-13Aug2019.csv,"Aug 30th 2019, 10:55:25 am",28.20 MB,CSV file
 175JourneyDataExtract14Aug2019-20Aug2019.csv,"Aug 30th 2019, 10:55:36 am",24.85 MB,CSV file
 176JourneyDataExtract21Aug2019-27Aug2019.csv,"Aug 30th 2019, 10:55:47 am",29.61 MB,CSV file
 177JourneyDataExtract28Aug2019-03Sep2019.csv,"Jan 8th 2020, 03:03:42 pm",29.54 MB,CSV file
 178JourneyDataExtract04Sep2019-10Sep2019.csv,"Jan 8th 2020, 03:03:58 pm",27.06 MB,CSV file
 179JourneyDataExtract11Sep2019-17Sep2019.csv,"Jan 8th 2020, 03:04:12 pm",30.36 MB,CSV file
 17JourneyDataExtract03Aug2016-09Aug2016.csv,"Aug 24th 2016, 03:48:37 pm",34.00 MB,CSV file
 180JourneyDataExtract18Sep2019-24Sep2019.csv,"Jan 8th 2020, 03:10:57 pm",27.44 MB,CSV file
 181JourneyDataExtract25Sep2019-01Oct2019.csv,"Jan 8th 2020, 03:11:10 pm",22.10 MB,CSV file
 182JourneyDataExtract02Oct2019-08Oct2019.csv,"Jan 8th 2020, 03:11:22 pm",24.95 MB,CSV file
 183JourneyDataExtract09Oct2019-15Oct2019.csv,"Jan 8th 2020, 03:11:33 pm",21.47 MB,CSV file
 184JourneyDataExtract16Oct2019-22Oct2019.csv,"Jan 8th 2020, 03:11:44 pm",23.43 MB,CSV file
 185JourneyDataExtract23Oct2019-29Oct2019.csv,"Jan 8th 2020, 03:11:55 pm",21.94 MB,CSV file
 186JourneyDataExtract30Oct2019-05Nov2019.csv,"Jan 8th 2020, 03:12:06 pm",21.80 MB,CSV file
 187JourneyDataExtract06Nov2019-12Nov2019.csv,"Jan 8th 2020, 03:12:17 pm",20.85 MB,CSV file
 188JourneyDataExtract13Nov2019-19Nov2019.csv,"Jan 8th 2020, 03:12:27 pm",20.86 MB,CSV file
 189JourneyDataExtract20Nov2019-26Nov2019.csv,"Jan 8th 2020, 03:12:38 pm",19.77 MB,CSV file
 18JourneyDataExtract10Aug2016-16Aug2016.csv,"Aug 24th 2016, 03:48:44 pm",35.10 MB,CSV file
 190JourneyDataExtract27Nov2019-03Dec2019.csv,"Jan 8th 2020, 03:12:59 pm",20.48 MB,CSV file
 191JourneyDataExtract04Dec2019-10Dec2019.csv,"Jan 8th 2020, 03:13:11 pm",19.92 MB,CSV file
 192JourneyDataExtract11Dec2019-17Dec2019.csv,"Jan 8th 2020, 03:13:22 pm",17.22 MB,CSV file
 193JourneyDataExtract18Dec2019-24Dec2019.csv,"Jan 8th 2020, 03:13:48 pm",12.84 MB,CSV file
 194JourneyDataExtract25Dec2019-31Dec2019.csv,"Jan 8th 2020, 03:13:59 pm",12.59 MB,CSV file
 195JourneyDataExtract01Jan2020-07Jan2020.csv,"Feb 19th 2020, 03:09:07 pm",15.42 MB,CSV file
 196JourneyDataExtract08Jan2020-14Jan2020.csv,"Feb 19th 2020, 03:09:17 pm",19.65 MB,CSV file
 197JourneyDataExtract15Jan2020-21Jan2020.csv,"Feb 19th 2020, 03:09:29 pm",20.37 MB,CSV file
 198JourneyDataExtract22Jan2020-28Jan2020.csv,"Feb 19th 2020, 03:09:41 pm",19.87 MB,CSV file
 199JourneyDataExtract29Jan2020-04Feb2020.csv,"Feb 19th 2020, 03:09:52 pm",21.35 MB,CSV file
 19JourneyDataExtract17Aug2016-23Aug2016.csv,"Oct 4th 2016, 10:10:42 am",29.16 MB,CSV file
 1a.JourneyDataExtract04Jan15-17Jan15.csv,"Aug 24th 2016, 03:12:49 pm",32.09 MB,CSV file
 1b.JourneyDataExtract18Jan15-31Jan15.csv,"Aug 24th 2016, 03:12:56 pm",34.10 MB,CSV file
 200JourneyDataExtract05Feb2020-11Feb2020.csv,"Feb 19th 2020, 03:10:04 pm",19.76 MB,CSV file
 2015TripDatazip.zip,"Jul 26th 2017, 10:11:47 am",208.70 MB,ZIP file
 2016TripDataZip.zip,"Jul 26th 2017, 10:24:19 am",222.07 MB,ZIP file
 201JourneyDataExtract12Feb2020-18Feb2020.csv,"Feb 19th 2020, 03:10:16 pm",17.67 MB,CSV file
 202JourneyDataExtract19Feb2020-25Feb2020.csv,"Mar 23rd 2020, 02:19:11 pm",18.66 MB,CSV file
 203JourneyDataExtract26Feb2020-03Mar2020.csv,"Mar 23rd 2020, 02:19:25 pm",18.32 MB,CSV file
 204JourneyDataExtract04Mar2020-10Mar2020.csv,"Mar 23rd 2020, 02:19:41 pm",18.60 MB,CSV file
 205JourneyDataExtract11Mar2020-17Mar2020.csv,"Mar 23rd 2020, 02:19:57 pm",18.97 MB,CSV file
 206JourneyDataExtract18Mar2020-24Mar2020.csv,"May 4th 2020, 01:19:47 pm",12.09 MB,CSV file
 207JourneyDataExtract25Mar2020-31Mar2020.csv,"May 4th 2020, 01:19:28 pm",8.37 MB,CSV file
 208JourneyDataExtract01Apr2020-07Apr2020.csv,"May 4th 2020, 01:20:03 pm",12.94 MB,CSV file
 209JourneyDataExtract08Apr2020-14Apr2020.csv,"May 4th 2020, 01:20:19 pm",18.70 MB,CSV file
 20JourneyDataExtract24Aug2016-30Aug2016.csv,"Oct 4th 2016, 10:10:35 am",30.51 MB,CSV file
 210JourneyDataExtract15Apr2020-21Apr2020.csv,"May 4th 2020, 01:20:39 pm",17.29 MB,CSV file
 211JourneyDataExtract22Apr2020-28Apr2020.csv,"May 4th 2020, 01:20:54 pm",20.33 MB,CSV file
 212JourneyDataExtract29Apr2020-05May2020.csv,"May 27th 2020, 02:07:17 pm",16.63 MB,CSV file
 213JourneyDataExtract06May2020-12May2020.csv,"May 27th 2020, 02:07:32 pm",24.15 MB,CSV file
 214JourneyDataExtract13May2020-19May2020.csv,"May 27th 2020, 02:07:51 pm",27.70 MB,CSV file
 215JourneyDataExtract20May2020-26May2020.csv,"May 27th 2020, 02:08:12 pm",38.57 MB,CSV file
 216JourneyDataExtract27May2020-02Jun2020.csv,"Aug 5th 2020, 03:13:40 pm",41.49 MB,CSV file
 217JourneyDataExtract03Jun2020-09Jun2020.csv,"Aug 5th 2020, 03:13:59 pm",26.30 MB,CSV file
 218JourneyDataExtract10Jun2020-16Jun2020.csv,"Aug 5th 2020, 03:14:13 pm",32.29 MB,CSV file
 219JourneyDataExtract17Jun2020-23Jun2020.csv,"Aug 5th 2020, 03:14:27 pm",35.02 MB,CSV file
 21JourneyDataExtract31Aug2016-06Sep2016.csv,"Nov 30th 2016, 09:55:59 am",29.46 MB,CSV file
 220JourneyDataExtract24Jun2020-30Jun2020.csv,"Aug 5th 2020, 03:14:44 pm",36.30 MB,CSV file
 221JourneyDataExtract01Jul2020-07Jul2020.csv,"Aug 5th 2020, 03:14:59 pm",30.42 MB,CSV file
 222JourneyDataExtract08Jul2020-14Jul2020.csv,"Aug 5th 2020, 03:15:20 pm",31.16 MB,CSV file
 223JourneyDataExtract15Jul2020-21Jul2020.csv,"Aug 5th 2020, 03:15:35 pm",34.85 MB,CSV file
 224JourneyDataExtract22Jul2020-28Jul2020.csv,"Aug 5th 2020, 03:15:50 pm",29.39 MB,CSV file
 225JourneyDataExtract29Jul2020-04Aug2020.csv,"Aug 5th 2020, 03:16:06 pm",36.46 MB,CSV file
 226JourneyDataExtract05Aug2020-11Aug2020.csv,"Sep 9th 2020, 03:52:27 pm",36.84 MB,CSV file
 227JourneyDataExtract12Aug2020-18Aug2020.csv,"Sep 9th 2020, 03:52:57 pm",29.37 MB,CSV file
